Roll No.,Section,Branch,Physics,Chemistry,Maths,Computer,DOB
1,A,CS,56.0,57.0,58.0,59.0,01-01-2001
2,A,ECE,23.0,24.0,25.0,26.0,02-01-2001
3,B,MECH,89.0,25.0,26.0,27.0,03-01-2001
4,C,MECH,45.0,26.0,27.0,28.0,04-01-2001
5,A,CS,23.0,27.0,28.0,29.0,05-01-2001
6,A,ECE,90.0,0.0,29.0,30.0,06-01-2001
7,B,CS,12.0,13.0,14.0,15.0,07-01-2001
8,C,Not Assigned,78.0,14.0,15.0,16.0,08-01-2001
9,A,ECE,0.0,15.0,16.0,17.0,09-01-2001
10,A,CS,45.0,16.0,17.0,18.0,10-01-2001
11,B,ECE,0.0,17.0,18.0,19.0,11-01-2001
12,C,CS,88.0,0.0,19.0,20.0,12-01-2001
13,A,CS,22.0,23.0,24.0,25.0,13-01-2001
14,A,CS,90.0,0.0,0.0,42.0,14-01-2001
15,B,ECE,0.0,43.0,43.0,43.0,15-01-2001
16,C,Not Assigned,44.0,44.0,44.0,44.0,16-01-2001
17,A,MECH,45.0,45.0,45.0,45.0,17-01-2001
18,A,MECH,46.0,46.0,46.0,46.0,18-01-2001
19,B,ECE,47.0,47.0,47.0,47.0,19-01-2001
20,C,MECH,48.0,48.0,48.0,48.0,20-01-2001
21,A,MECH,49.0,49.0,49.0,49.0,21-01-2001
22,A,MECH,50.0,50.0,50.0,50.0,22-01-2001
23,B,ECE,51.0,51.0,51.0,51.0,23-01-2001
24,C,MECH,52.0,52.0,52.0,52.0,24-01-2001
25,A,MECH,53.0,0.0,0.0,53.0,25-01-2001
26,A,ECE,54.0,33.0,33.0,54.0,26-01-2001
27,B,CS,55.0,34.0,34.0,55.0,27-01-2001
28,C,CS,56.0,35.0,35.0,0.0,28-01-2001
29,A,CS,57.0,36.0,36.0,66.0,29-01-2001
30,A,CS,58.0,37.0,37.0,43.0,30-01-2001
